folder,plc,network,loss,rtt,app_neteq,neteq_v1,kNormal,kCodecPlc,kExpand,kMerge,kAccelerateSuccess,kAccelerateLowEnergy,kAccelerateFail,kPreemptiveExpandSuccess,kPreemptiveExpandLowEnergy,kPreemptiveExpandFail,kDefault
en-5_dec-6_normal_dred-0_2G-DevelopingUrban_loss-30_rtt-300_03-08-2026_195101,False,2G-DevelopingUrban,30,300,2.60101,4.86513,383,0,892,248,12,0,4,312,191,142,0
en-5_dec-6_normal_dred-0_2G-DevelopingUrban_loss-40_rtt-400_03-08-2026_195152,False,2G-DevelopingUrban,40,400,2.11049,4.84806,314,0,1087,282,20,6,4,212,209,134,0
en-5_dec-6_normal_dred-0_2G-DevelopingUrban_loss-50_rtt-600_03-08-2026_195243,False,2G-DevelopingUrban,50,600,1.6325,4.8308,216,0,1284,293,14,0,20,162,100,148,0
en-5_dec-6_normal_dred-0_2G-DevelopingUrban_loss-5_rtt-80_03-08-2026_194738,False,2G-DevelopingUrban,5,80,3.2375,4.90619,708,0,497,145,20,6,13,439,271,131,0
en-5_dec-6_normal_dred-0_2G-DevelopingUrban_loss-70_rtt-900_03-08-2026_195334,False,2G-DevelopingUrban,70,900,0.666876,4.79899,142,0,1624,285,15,0,4,44,61,61,0
en-5_dec-6_normal_dred-0_2G-DevelopingUrban_loss-90_rtt-1200_03-08-2026_195425,False,2G-DevelopingUrban,90,1200,0.416667,4.77607,119,0,1927,116,11,0,8,9,37,13,0
en-5_dec-6_normal_dred-0_3G-Average_loss-0_rtt-50_03-08-2026_195516,False,3G-Average,0,50,4.95979,4.99003,2065,0,11,4,28,2,22,22,37,36,0
en-5_dec-6_normal_dred-0_3G-Average_loss-10_rtt-120_03-08-2026_195657,False,3G-Average,10,120,4.61257,4.9527,1639,0,225,180,46,2,18,58,41,34,0
en-5_dec-6_normal_dred-0_3G-Average_loss-15_rtt-160_03-08-2026_195748,False,3G-Average,15,160,4.60489,4.95629,2186,0,343,235,18,4,32,90,43,55,0
en-5_dec-6_normal_dred-0_3G-Average_loss-20_rtt-200_03-08-2026_195846,False,3G-Average,20,200,4.19729,4.92759,1232,0,397,259,40,0,12,117,88,82,0
en-5_dec-6_normal_dred-0_3G-Average_loss-30_rtt-300_03-08-2026_195937,False,3G-Average,30,300,3.68458,4.89641,958,0,621,348,43,10,16,125,60,59,0
en-5_dec-6_normal_dred-0_3G-Average_loss-40_rtt-400_03-08-2026_200028,False,3G-Average,40,400,3.22229,4.87379,639,0,818,363,19,22,6,170,126,92,0
en-5_dec-6_normal_dred-0_3G-Average_loss-50_rtt-600_03-08-2026_200119,False,3G-Average,50,600,4.97708,4.99295,2173,0,0,0,24,6,10,0,14,0,0
en-5_dec-6_normal_dred-0_3G-Average_loss-50_rtt-600_03-08-2026_201737,False,3G-Average,50,600,2.5407,4.84846,337,0,1079,407,19,0,20,156,60,156,0
en-5_dec-6_normal_dred-0_3G-Average_loss-50_rtt-600_03-08-2026_202014,False,3G-Average,50,600,2.71861,4.8543,498,0,927,374,49,20,12,139,121,81,0
en-5_dec-6_normal_dred-0_3G-Average_loss-5_rtt-80_03-08-2026_195606,False,3G-Average,5,80,4.77604,4.96541,1829,0,125,104,45,19,30,14,41,22,0
en-5_dec-6_normal_dred-0_3G-Average_loss-70_rtt-900_03-08-2026_202103,False,3G-Average,70,900,0.883265,4.81187,224,0,1405,329,28,16,4,108,63,56,0
en-5_dec-6_normal_dred-0_3G-Average_loss-90_rtt-1200_03-08-2026_202151,False,3G-Average,90,1200,0.434783,4.77887,157,0,1863,109,5,0,0,17,20,8,0
en-5_dec-6_normal_dred-0_3G-Good_loss-0_rtt-50_03-08-2026_202240,False,3G-Good,0,50,4.9016,4.9843,2057,0,10,0,53,5,37,18,36,20,0
en-5_dec-6_normal_dred-0_3G-Good_loss-10_rtt-120_03-08-2026_202421,False,3G-Good,10,120,4.61674,4.95323,1542,0,241,173,29,1,28,88,46,68,0
en-5_dec-6_normal_dred-0_3G-Good_loss-15_rtt-160_03-08-2026_202512,False,3G-Good,15,160,4.42222,4.93884,1377,0,322,224,33,3,28,130,57,62,0
en-5_dec-6_normal_dred-0_3G-Good_loss-20_rtt-200_03-08-2026_202603,False,3G-Good,20,200,4.13271,4.92046,1264,0,430,300,51,10,16,71,44,43,0
en-5_dec-6_normal_dred-0_3G-Good_loss-30_rtt-300_03-08-2026_202654,False,3G-Good,30,300,3.65882,4.89393,953,0,637,378,29,28,8,90,63,55,0
en-5_dec-6_normal_dred-0_3G-Good_loss-40_rtt-400_03-08-2026_202744,False,3G-Good,40,400,3.16938,4.87158,649,0,804,372,34,29,20,136,113,93,0
en-5_dec-6_normal_dred-0_3G-Good_loss-50_rtt-600_03-08-2026_202833,False,3G-Good,50,600,2.4666,4.84648,358,0,1039,385,38,7,32,188,62,123,0
en-5_dec-6_normal_dred-0_3G-Good_loss-5_rtt-80_03-08-2026_202330,False,3G-Good,5,80,4.81382,4.97458,1873,0,104,78,30,6,34,29,44,40,0
en-5_dec-6_normal_dred-0_3G-Good_loss-70_rtt-900_03-08-2026_202921,False,3G-Good,70,900,0.844654,4.80417,200,0,1496,303,27,18,14,75,48,49,0
en-5_dec-6_normal_dred-0_3G-Good_loss-90_rtt-1200_03-08-2026_203010,False,3G-Good,90,1200,0.516667,4.78569,195,0,1820,151,15,3,24,10,29,0,0
en-5_dec-6_normal_dred-0_3G-Poor_loss-0_rtt-50_03-08-2026_203059,False,3G-Poor,0,50,4.74014,4.97391,1834,0,112,74,28,0,14,56,51,37,0
en-5_dec-6_normal_dred-0_3G-Poor_loss-10_rtt-120_03-08-2026_203236,False,3G-Poor,10,120,4.27993,4.93812,1375,0,314,213,47,3,28,103,49,91,0
en-5_dec-6_normal_dred-0_3G-Poor_loss-15_rtt-160_03-08-2026_203325,False,3G-Poor,15,160,4.02958,4.92218,1282,0,461,283,38,4,12,76,48,39,0
en-5_dec-6_normal_dred-0_3G-Poor_loss-20_rtt-200_03-08-2026_203414,False,3G-Poor,20,200,3.88722,4.90559,1055,0,553,326,45,5,24,137,48,52,0
en-5_dec-6_normal_dred-0_3G-Poor_loss-30_rtt-300_03-08-2026_203502,False,3G-Poor,30,300,3.50576,4.88546,782,0,719,395,28,6,4,141,74,69,0
en-5_dec-6_normal_dred-0_3G-Poor_loss-40_rtt-400_03-08-2026_203551,False,3G-Poor,40,400,2.86222,4.86219,529,0,933,404,22,9,16,135,118,73,0
en-5_dec-6_normal_dred-0_3G-Poor_loss-50_rtt-600_03-08-2026_203640,False,3G-Poor,50,600,2.33725,4.84225,268,0,1094,348,14,0,4,210,158,86,0
en-5_dec-6_normal_dred-0_3G-Poor_loss-5_rtt-80_03-08-2026_203147,False,3G-Poor,5,80,4.40403,4.95697,1648,0,207,148,39,3,29,60,50,48,0
en-5_dec-6_normal_dred-0_3G-Poor_loss-70_rtt-900_03-08-2026_203728,False,3G-Poor,70,900,0.469166,4.80768,162,0,1547,285,5,0,9,75,88,63,0
en-5_dec-6_normal_dred-0_3G-Poor_loss-90_rtt-1200_03-08-2026_203817,False,3G-Poor,90,1200,0.46757,4.78459,171,0,1854,110,2,0,10,47,29,13,0
en-5_dec-6_normal_dred-0_4G-Average_loss-0_rtt-50_03-08-2026_203907,False,4G-Average,0,50,4.93986,4.98655,2067,0,7,5,43,2,30,34,39,11,0
en-5_dec-6_normal_dred-0_4G-Average_loss-10_rtt-120_03-08-2026_204044,False,4G-Average,10,120,4.6816,4.96058,1706,0,207,167,23,0,21,70,30,20,0
en-5_dec-6_normal_dred-0_4G-Average_loss-15_rtt-160_03-08-2026_204133,False,4G-Average,15,160,4.47181,4.9433,1512,0,314,241,34,0,18,52,44,25,0
en-5_dec-6_normal_dred-0_4G-Average_loss-20_rtt-200_03-08-2026_204222,False,4G-Average,20,200,4.19979,4.93059,1317,0,411,271,22,6,16,98,38,62,0
en-5_dec-6_normal_dred-0_4G-Average_loss-30_rtt-300_03-08-2026_204311,False,4G-Average,30,300,3.59799,4.88626,849,0,745,406,28,4,10,95,53,52,0
en-5_dec-6_normal_dred-0_4G-Average_loss-40_rtt-400_03-08-2026_204400,False,4G-Average,40,400,3.35304,4.8784,620,0,802,383,15,0,10,146,69,129,0
en-5_dec-6_normal_dred-0_4G-Average_loss-50_rtt-600_03-08-2026_204448,False,4G-Average,50,600,4.99444,4.99782,2200,0,0,0,5,3,4,0,17,0,0
en-5_dec-6_normal_dred-0_4G-Average_loss-50_rtt-600_03-08-2026_204633,False,4G-Average,50,600,4.98819,4.99638,2207,0,1,0,14,0,0,0,17,0,0
en-5_dec-6_normal_dred-0_4G-Average_loss-50_rtt-600_03-08-2026_205225,False,4G-Average,50,600,2.66652,4.84993,346,0,1005,399,29,3,21,168,109,115,0
en-5_dec-6_normal_dred-0_4G-Average_loss-5_rtt-80_03-08-2026_203955,False,4G-Average,5,80,4.81319,4.97434,1835,0,128,93,15,3,18,51,43,57,0
en-5_dec-6_normal_dred-0_4G-Average_loss-70_rtt-900_03-08-2026_205313,False,4G-Average,70,900,0.533125,4.80782,159,0,1547,307,3,0,4,85,76,63,0
en-5_dec-6_normal_dred-0_4G-Average_loss-90_rtt-1200_03-08-2026_205402,False,4G-Average,90,1200,0.557153,4.78529,205,0,1832,149,12,0,4,0,24,10,0
en-5_dec-6_normal_dred-0_4G-Good_loss-0_rtt-50_03-08-2026_205451,False,4G-Good,0,50,4.96042,4.9913,2126,0,2,2,32,0,6,12,30,21,0
en-5_dec-6_normal_dred-0_4G-Good_loss-10_rtt-120_03-08-2026_152922,False,4G-Good,10,120,4.71222,4.96168,1680,0,208,161,19,0,8,49,52,44,0
en-5_dec-6_normal_dred-0_4G-Good_loss-15_rtt-160_03-08-2026_205629,False,4G-Good,15,160,4.51486,4.93683,1456,0,319,250,54,9,40,25,40,35,0
en-5_dec-6_normal_dred-0_4G-Good_loss-20_rtt-200_03-08-2026_205717,False,4G-Good,20,200,4.29924,4.92654,1317,0,413,279,46,6,32,39,45,46,0
en-5_dec-6_normal_dred-0_4G-Good_loss-30_rtt-300_03-08-2026_205807,False,4G-Good,30,300,3.64597,4.89395,888,0,682,362,20,11,16,115,62,77,0
en-5_dec-6_normal_dred-0_4G-Good_loss-40_rtt-400_03-08-2026_205858,False,4G-Good,40,400,3.0309,4.87447,709,0,811,350,28,23,34,137,100,54,0
en-5_dec-6_normal_dred-0_4G-Good_loss-50_rtt-600_03-08-2026_205949,False,4G-Good,50,600,2.50535,4.84582,339,0,1051,402,16,14,10,202,129,72,0
en-5_dec-6_normal_dred-0_4G-Good_loss-5_rtt-80_03-08-2026_205540,False,4G-Good,5,80,4.80201,4.96964,1866,0,132,117,34,4,26,32,28,11,0
en-5_dec-6_normal_dred-0_4G-Good_loss-70_rtt-900_03-08-2026_210040,False,4G-Good,70,900,0.845279,4.81228,232,0,1444,340,19,14,4,75,60,60,0
en-5_dec-6_normal_dred-0_4G-Good_loss-90_rtt-1200_03-08-2026_210131,False,4G-Good,90,1200,0.416667,4.78258,182,0,1856,151,12,0,0,6,35,0,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-0_rtt-50_03-08-2026_210222,False,4G-Poor,0,50,4.85069,4.98127,1943,0,96,69,9,0,0,35,60,25,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-10_rtt-120_03-08-2026_210404,False,4G-Poor,10,120,4.34847,4.95065,1617,0,293,201,18,6,10,32,38,23,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-15_rtt-160_03-08-2026_210455,False,4G-Poor,15,160,4.29313,4.93726,1419,0,370,249,25,2,16,87,40,49,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-20_rtt-200_03-08-2026_210546,False,4G-Poor,20,200,4.12257,4.92279,1237,0,478,292,20,3,16,97,58,37,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-20_rtt-200_03-08-2026_211825,False,4G-Poor,20,200,4.00389,4.91935,1192,0,478,299,25,6,10,117,39,48,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-30_rtt-300_03-08-2026_211915,False,4G-Poor,30,300,3.33746,4.89232,713,0,676,301,12,8,8,218,105,152,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-40_rtt-400_03-08-2026_212006,False,4G-Poor,40,400,2.99882,4.86181,536,0,956,428,8,6,2,160,84,56,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-50_rtt-600_03-08-2026_212057,False,4G-Poor,50,600,2.1941,4.83779,212,0,1162,372,17,2,6,227,82,164,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-5_rtt-80_03-08-2026_210313,False,4G-Poor,5,80,4.61979,4.96521,1762,0,197,137,17,0,2,42,38,34,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-70_rtt-900_03-08-2026_212147,False,4G-Poor,70,900,0.695508,4.80982,142,0,1458,331,9,0,2,95,79,69,0
en-5_dec-6_normal_dred-0_4G-Poor_loss-90_rtt-1200_03-08-2026_212238,False,4G-Poor,90,1200,0.416667,4.78088,149,0,1873,124,12,0,10,28,45,3,0
en-5_dec-6_normal_dred-0_5G-Average_loss-0_rtt-50_03-08-2026_212329,False,5G-Average,0,50,4.98889,4.99694,2200,0,0,0,8,4,8,0,17,0,0
en-5_dec-6_normal_dred-0_5G-Average_loss-0_rtt-50_03-08-2026_212658,False,5G-Average,0,50,4.97375,4.99391,2112,0,2,2,18,3,29,5,38,26,0
en-5_dec-6_normal_dred-0_5G-Average_loss-10_rtt-120_03-08-2026_162623,False,5G-Average,10,120,4.65097,4.95208,1620,0,221,172,53,0,16,58,52,48,0
en-5_dec-6_normal_dred-0_5G-Average_loss-15_rtt-160_03-08-2026_162713,False,5G-Average,15,160,4.55389,4.94425,1424,0,326,233,13,3,25,102,52,75,0
en-5_dec-6_normal_dred-0_5G-Average_loss-20_rtt-200_03-08-2026_162803,False,5G-Average,20,200,4.30972,4.92612,1203,0,425,256,29,0,0,156,71,100,0
en-5_dec-6_normal_dred-0_5G-Average_loss-30_rtt-300_03-08-2026_162853,False,5G-Average,30,300,3.68868,4.89482,807,0,706,389,0,0,0,166,72,100,0
en-5_dec-6_normal_dred-0_5G-Average_loss-40_rtt-400_03-08-2026_162943,False,5G-Average,40,400,3.17118,4.86934,605,0,870,416,16,13,0,122,93,88,0
en-5_dec-6_normal_dred-0_5G-Average_loss-50_rtt-600_03-08-2026_163033,False,5G-Average,50,600,2.66417,4.85248,429,0,1013,401,14,14,10,155,137,62,0
en-5_dec-6_normal_dred-0_5G-Average_loss-5_rtt-80_03-08-2026_162532,False,5G-Average,5,80,4.85799,4.9763,1868,0,107,94,22,0,12,33,32,28,0
en-5_dec-6_normal_dred-0_5G-Average_loss-70_rtt-900_03-08-2026_163123,False,5G-Average,70,900,0.734167,4.80809,213,0,1497,310,7,12,0,98,68,25,0
en-5_dec-6_normal_dred-0_5G-Average_loss-90_rtt-1200_03-08-2026_163212,False,5G-Average,90,1200,0.489653,4.78391,151,0,1833,152,9,0,20,31,21,14,0
en-5_dec-6_normal_dred-0_5G-Good_loss-0_rtt-50_03-08-2026_163301,False,5G-Good,0,50,4.95521,4.98857,2088,0,15,0,39,0,61,10,27,0,0
en-5_dec-6_normal_dred-0_5G-Good_loss-10_rtt-120_03-08-2026_163440,False,5G-Good,10,120,4.67639,4.95851,1696,0,217,162,17,15,18,41,46,26,0
en-5_dec-6_normal_dred-0_5G-Good_loss-15_rtt-160_03-08-2026_163530,False,5G-Good,15,160,4.48431,4.93334,1368,0,342,241,42,13,30,98,43,59,0
en-5_dec-6_normal_dred-0_5G-Good_loss-20_rtt-200_03-08-2026_163619,False,5G-Good,20,200,4.2884,4.92207,1201,0,457,296,32,0,28,124,43,57,0
en-5_dec-6_normal_dred-0_5G-Good_loss-30_rtt-300_03-08-2026_163708,False,5G-Good,30,300,3.94028,4.89805,795,0,642,350,15,2,2,207,61,160,0
en-5_dec-6_normal_dred-0_5G-Good_loss-40_rtt-400_03-08-2026_163758,False,5G-Good,40,400,3.19938,4.87359,492,0,837,387,15,3,52,203,103,142,0
en-5_dec-6_normal_dred-0_5G-Good_loss-50_rtt-600_03-08-2026_163848,False,5G-Good,50,600,2.59125,4.84924,435,0,1014,391,21,26,2,162,126,69,0
en-5_dec-6_normal_dred-0_5G-Good_loss-5_rtt-80_03-08-2026_163350,False,5G-Good,5,80,4.82972,4.97527,1915,0,111,88,29,0,10,18,48,15,0
en-5_dec-6_normal_dred-0_5G-Good_loss-70_rtt-900_03-08-2026_212748,False,5G-Good,70,900,0.681598,4.81021,213,0,1505,341,11,3,10,71,63,36,0
en-5_dec-6_normal_dred-0_5G-Good_loss-90_rtt-1200_03-08-2026_164023,False,5G-Good,90,1200,0.556597,4.78488,191,0,1848,133,6,3,0,19,29,17,0
en-5_dec-6_normal_dred-0_5G-Poor_loss-0_rtt-50_03-08-2026_212839,False,5G-Poor,0,50,4.90542,4.98346,1991,0,74,61,13,3,5,23,43,27,0
en-5_dec-6_normal_dred-0_5G-Poor_loss-10_rtt-120_03-08-2026_212930,False,5G-Poor,10,120,4.61264,4.95299,1600,0,267,213,17,2,10,54,45,30,0
en-5_dec-6_normal_dred-0_5G-Poor_loss-15_rtt-160_03-08-2026_164334,False,5G-Poor,15,160,4.41306,4.94155,1445,0,339,245,22,6,30,47,55,47,0
en-5_dec-6_normal_dred-0_5G-Poor_loss-20_rtt-200_03-08-2026_164421,False,5G-Poor,20,200,4.10778,4.91824,1162,0,516,323,14,0,12,123,54,38,0
en-5_dec-6_normal_dred-0_5G-Poor_loss-30_rtt-300_03-08-2026_164509,False,5G-Poor,30,300,3.81854,4.89205,793,0,677,370,33,0,25,176,70,115,0
en-5_dec-6_normal_dred-0_5G-Poor_loss-40_rtt-400_03-08-2026_164557,False,5G-Poor,40,400,3.15431,4.86656,573,0,919,431,14,0,8,146,89,60,0
en-5_dec-6_normal_dred-0_5G-Poor_loss-50_rtt-600_03-08-2026_164645,False,5G-Poor,50,600,2.32,4.8502,282,0,1059,332,5,0,10,236,185,116,0
en-5_dec-6_normal_dred-0_5G-Poor_loss-5_rtt-80_03-08-2026_164159,False,5G-Poor,5,80,4.67153,4.9649,1761,0,166,127,33,2,10,41,51,41,0
en-5_dec-6_normal_dred-0_5G-Poor_loss-70_rtt-900_03-08-2026_164733,False,5G-Poor,70,900,0.896043,4.81241,191,0,1437,333,14,13,6,101,85,61,0
en-5_dec-6_normal_dred-0_5G-Poor_loss-90_rtt-1200_03-08-2026_164822,False,5G-Poor,90,1200,0.495417,4.78083,146,0,1895,111,0,0,0,43,36,9,0
en-5_dec-6_normal_dred-0_Cable_loss-0_rtt-50_03-08-2026_164910,False,Cable,0,50,4.97076,4.99307,2104,0,5,0,9,11,11,29,26,35,0
en-5_dec-6_normal_dred-0_Cable_loss-10_rtt-120_03-08-2026_165045,False,Cable,10,120,4.73,4.95697,1598,0,193,147,43,0,34,93,44,78,0
en-5_dec-6_normal_dred-0_Cable_loss-15_rtt-160_03-08-2026_165133,False,Cable,15,160,4.47701,4.94231,1484,0,317,230,35,3,14,54,41,53,0
en-5_dec-6_normal_dred-0_Cable_loss-20_rtt-200_03-08-2026_165221,False,Cable,20,200,4.38903,4.92919,1318,0,397,274,34,9,30,84,44,52,0
en-5_dec-6_normal_dred-0_Cable_loss-30_rtt-300_03-08-2026_165308,False,Cable,30,300,3.66111,4.88891,819,0,691,350,23,18,20,167,69,79,0
en-5_dec-6_normal_dred-0_Cable_loss-40_rtt-400_03-08-2026_165356,False,Cable,40,400,3.42153,4.87872,661,0,786,370,34,9,61,152,34,135,0
en-5_dec-6_normal_dred-0_Cable_loss-50_rtt-600_03-08-2026_213021,False,Cable,50,600,2.74867,4.85523,431,0,1008,380,34,15,48,152,158,106,0
en-5_dec-6_normal_dred-0_Cable_loss-5_rtt-80_03-08-2026_164958,False,Cable,5,80,4.86597,4.97871,1893,0,105,84,11,0,8,50,46,32,0
en-5_dec-6_normal_dred-0_Cable_loss-70_rtt-900_03-08-2026_165533,False,Cable,70,900,0.945556,4.80863,220,0,1482,336,15,9,4,84,49,32,0
en-5_dec-6_normal_dred-0_Cable_loss-90_rtt-1200_03-08-2026_165621,False,Cable,90,1200,0.430972,4.78625,195,0,1820,152,0,3,0,14,20,14,0
en-5_dec-6_normal_dred-0_DSL_loss-0_rtt-50_03-08-2026_165708,False,DSL,0,50,4.96278,4.98896,2078,0,15,0,30,3,18,36,14,29,0
en-5_dec-6_normal_dred-0_DSL_loss-10_rtt-120_03-08-2026_165844,False,DSL,10,120,4.61549,4.94938,1621,0,246,172,46,5,29,83,27,20,0
en-5_dec-6_normal_dred-0_DSL_loss-15_rtt-160_03-08-2026_165932,False,DSL,15,160,4.61729,4.9466,1539,0,285,210,35,3,26,63,39,38,0
en-5_dec-6_normal_dred-0_DSL_loss-20_rtt-200_03-08-2026_170020,False,DSL,20,200,4.28194,4.9206,1190,0,454,292,41,3,22,109,45,84,0
en-5_dec-6_normal_dred-0_DSL_loss-30_rtt-300_03-08-2026_170107,False,DSL,30,300,3.73708,4.8944,918,0,664,378,32,2,25,109,42,44,0
en-5_dec-6_normal_dred-0_DSL_loss-40_rtt-400_03-08-2026_170155,False,DSL,40,400,3.14236,4.86644,570,0,884,404,29,9,31,163,60,94,0
en-5_dec-6_normal_dred-0_DSL_loss-50_rtt-600_03-08-2026_170243,False,DSL,50,600,2.52646,4.84815,374,0,1047,388,24,11,4,153,136,103,0
en-5_dec-6_normal_dred-0_DSL_loss-5_rtt-80_03-08-2026_165756,False,DSL,5,80,4.81764,4.97095,1853,0,127,107,31,6,50,20,38,0,0
en-5_dec-6_normal_dred-0_DSL_loss-70_rtt-900_03-08-2026_170331,False,DSL,70,900,0.568612,4.80539,162,0,1490,319,22,9,10,63,70,63,0
en-5_dec-6_normal_dred-0_DSL_loss-90_rtt-1200_03-08-2026_213112,False,DSL,90,1200,0.416667,4.77771,125,0,1908,141,8,0,10,6,27,11,0
en-5_dec-6_normal_dred-0_Edge-Average_loss-0_rtt-50_03-08-2026_170506,False,Edge-Average,0,50,4.45215,4.94624,1538,0,41,0,157,19,148,186,67,80,0
en-5_dec-6_normal_dred-0_Edge-Average_loss-10_rtt-120_03-08-2026_170641,False,Edge-Average,10,120,4.30569,4.9281,1333,0,266,147,93,26,84,181,68,58,0
en-5_dec-6_normal_dred-0_Edge-Average_loss-15_rtt-160_03-08-2026_170729,False,Edge-Average,15,160,4.08271,4.91892,1120,0,381,212,79,11,117,156,80,77,0
en-5_dec-6_normal_dred-0_Edge-Average_loss-20_rtt-200_03-08-2026_170820,False,Edge-Average,20,200,4.13111,4.91653,1110,0,417,244,54,22,69,146,111,65,0
en-5_dec-6_normal_dred-0_Edge-Average_loss-30_rtt-300_03-08-2026_170908,False,Edge-Average,30,300,3.4659,4.88326,759,0,702,312,44,27,28,145,117,115,0
en-5_dec-6_normal_dred-0_Edge-Average_loss-40_rtt-400_03-08-2026_170956,False,Edge-Average,40,400,3.06528,4.86393,498,0,859,353,38,18,20,204,127,123,0
en-5_dec-6_normal_dred-0_Edge-Average_loss-50_rtt-600_03-08-2026_171044,False,Edge-Average,50,600,2.53577,4.8466,381,0,1023,366,40,12,22,176,147,71,0
en-5_dec-6_normal_dred-0_Edge-Average_loss-5_rtt-80_03-08-2026_170554,False,Edge-Average,5,80,4.47444,4.94248,1382,0,151,86,107,13,153,196,65,93,0
en-5_dec-6_normal_dred-0_Edge-Average_loss-70_rtt-900_03-08-2026_171132,False,Edge-Average,70,900,0.818403,4.80491,205,0,1528,322,22,5,6,54,47,43,0
en-5_dec-6_normal_dred-0_Edge-Average_loss-90_rtt-1200_03-08-2026_171220,False,Edge-Average,90,1200,0.540417,4.78427,180,0,1808,143,12,8,0,42,29,12,0
en-5_dec-6_normal_dred-0_Edge-Good_loss-0_rtt-50_03-08-2026_171307,False,Edge-Good,0,50,4.54632,4.95286,1585,0,45,2,138,16,159,137,69,89,0
en-5_dec-6_normal_dred-0_Edge-Good_loss-10_rtt-120_03-08-2026_171442,False,Edge-Good,10,120,4.27243,4.93545,1379,0,255,149,96,4,80,122,67,82,0
en-5_dec-6_normal_dred-0_Edge-Good_loss-15_rtt-160_03-08-2026_171531,False,Edge-Good,15,160,4.06882,4.91609,1182,0,310,185,134,10,115,154,81,63,0
en-5_dec-6_normal_dred-0_Edge-Good_loss-20_rtt-200_03-08-2026_171619,False,Edge-Good,20,200,4.03493,4.91467,1130,0,413,239,82,6,51,164,46,94,0
en-5_dec-6_normal_dred-0_Edge-Good_loss-30_rtt-300_03-08-2026_171706,False,Edge-Good,30,300,3.68889,4.8891,778,0,624,334,50,20,28,159,129,103,0
